<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200317,080000,12.739,12.798,12.606,12.699,2482
20200317,090000,12.701,12.899,12.619,12.756,2450
20200317,100000,12.753,12.756,12.198,12.242,3254
20200317,110000,12.241,12.400,12.145,12.168,2543
20200317,120000,12.170,12.320,12.107,12.110,2199
20200317,130000,12.128,12.190,12.108,12.187,2003
20200317,140000,12.189,12.512,12.187,12.420,6501
20200317,150000,12.428,12.651,12.306,12.411,9296
20200317,160000,12.409,12.957,12.387,12.877,13139
20200317,170000,12.873,13.160,12.297,12.486,11382
20200317,180000,12.487,12.718,12.434,12.446,7984
20200317,190000,12.448,12.691,12.432,12.689,6786
20200317,200000,12.690,12.808,12.617,12.676,3202
20200317,210000,12.677,12.757,12.550,12.710,3202
20200317,220000,12.710,12.710,12.574,12.601,755
20200318,000000,12.589,12.883,12.588,12.716,1430
20200318,010000,12.712,12.827,12.704,12.757,1896
20200318,020000,12.758,12.883,12.702,12.802,3030
20200318,030000,12.807,12.836,12.530,12.738,7449
20200318,040000,12.734,12.823,12.720,12.794,4073
20200318,050000,12.795,12.867,12.755,12.827,2776
20200318,060000,12.823,12.861,12.769,12.792,1816
20200318,070000,12.793,12.838,12.218,12.532,5311
20200318,080000,12.532,12.540,12.353,12.427,3853
20200318,090000,12.417,12.684,12.311,12.391,2462
20200318,100000,12.376,12.519,12.267,12.338,2315
20200318,110000,12.338,12.443,12.192,12.378,2122
20200318,120000,12.384,12.640,12.303,12.365,2210
20200318,130000,12.363,12.484,12.283,12.421,2237
20200318,140000,12.421,12.610,11.672,12.085,7824
20200318,150000,12.076,12.274,11.984,12.183,6716
20200318,160000,12.180,12.380,12.060,12.088,8702
20200318,170000,12.077,12.123,11.867,12.098,8758
20200318,180000,12.097,12.142,11.802,11.829,8016
20200318,190000,11.827,11.904,11.620,11.824,8102
20200318,200000,11.827,12.053,11.773,11.983,5512
20200318,210000,11.984,12.069,11.894,12.014,4273
20200318,220000,12.012,12.063,11.902,11.960,1613
20200319,000000,11.940,12.068,11.883,12.040,1163
20200319,010000,12.042,12.280,12.020,12.251,1902
20200319,020000,12.252,12.289,11.937,12.033,2169
20200319,030000,12.033,12.295,12.033,12.151,4624
20200319,040000,12.156,12.166,11.869,11.872,3994
20200319,050000,11.876,12.009,11.756,11.895,3031
20200319,060000,11.895,12.018,11.893,11.970,1088
20200319,070000,11.971,12.082,11.923,12.020,1877
20200319,080000,12.019,12.181,12.010,12.102,2781
20200319,090000,12.092,12.099,11.902,11.987,1881
20200319,100000,11.982,12.070,11.903,12.011,1861
20200319,110000,12.011,12.023,11.947,11.967,1194
20200319,120000,11.973,12.014,11.866,11.988,1384
20200319,130000,11.989,12.042,11.901,11.946,1794
20200319,140000,11.946,12.026,11.774,11.924,6376
20200319,150000,11.926,12.121,11.810,11.997,8726
20200319,160000,11.993,12.208,11.945,11.955,10032
20200319,170000,11.961,12.232,11.945,12.133,7574
20200319,180000,12.130,12.177,12.025,12.040,6442
20200319,190000,12.039,12.134,12.030,12.084,4600
20200319,200000,12.085,12.172,12.036,12.125,3391
20200319,210000,12.127,12.234,12.082,12.095,3788
20200319,220000,12.096,12.137,12.040,12.080,1136
20200320,000000,12.049,12.106,11.962,12.047,804
20200320,010000,12.047,12.112,12.028,12.098,436
20200320,020000,12.096,12.176,12.095,12.135,770
20200320,030000,12.140,12.349,12.129,12.301,4035
20200320,040000,12.300,12.616,12.273,12.499,5239
20200320,050000,12.503,12.563,12.373,12.480,2904
20200320,060000,12.484,12.614,12.459,12.523,2113
20200320,070000,12.526,12.683,12.479,12.508,3902
20200320,080000,12.510,12.760,12.492,12.656,3355
20200320,090000,12.657,12.938,12.598,12.902,2373
20200320,100000,12.892,13.014,12.762,12.838,2611
20200320,110000,12.848,12.914,12.750,12.856,1641
20200320,120000,12.855,12.896,12.789,12.858,1550
20200320,130000,12.858,12.862,12.566,12.679,2186
20200320,140000,12.678,12.678,12.435,12.437,5694
20200320,150000,12.434,12.649,12.416,12.523,7869
20200320,160000,12.519,12.764,12.518,12.692,7875
20200320,170000,12.693,12.721,12.463,12.517,6881
20200320,180000,12.515,12.565,12.345,12.508,6581
20200320,190000,12.507,12.533,12.330,12.433,5188
20200320,200000,12.428,12.463,12.332,12.394,3447
20200320,210000,12.395,12.526,12.373,12.459,2874
20200320,220000,12.460,12.603,12.450,12.600,772
20200323,000000,12.612,12.645,12.261,12.375,2252
20200323,010000,12.373,12.469,12.316,12.400,1340
20200323,020000,12.399,12.599,12.399,12.539,1209
20200323,030000,12.539,12.625,12.362,12.547,7023
20200323,040000,12.548,12.609,12.487,12.544,3400
20200323,050000,12.545,12.671,12.535,12.562,3525
20200323,060000,12.563,12.599,12.544,12.591,1201
20200323,070000,12.592,12.612,12.503,12.581,2607
20200323,080000,12.585,12.640,12.457,12.492,3159
20200323,090000,12.492,12.527,12.413,12.518,1644
20200323,100000,12.517,12.536,12.433,12.491,1449
20200323,110000,12.492,12.586,12.486,12.580,1405
20200323,120000,12.573,12.588,12.547,12.575,1380
20200323,130000,12.580,12.592,12.484,12.487,1540
20200323,140000,12.488,12.965,12.475,12.848,8698
20200323,150000,12.847,12.961,12.696,12.909,7630
20200323,160000,12.905,12.918,12.750,12.812,7535
20200323,170000,12.814,12.909,12.773,12.853,6118
20200323,180000,12.852,13.011,12.812,12.941,5448
20200323,190000,12.939,13.264,12.903,13.182,6188
20200323,200000,13.186,13.186,13.047,13.074,3580
20200323,210000,13.079,13.226,13.074,13.180,2433
20200323,220000,13.185,13.262,13.174,13.223,743
20200324,000000,13.260,13.432,13.230,13.422,874
20200324,010000,13.423,13.784,13.390,13.756,1275
20200324,020000,13.755,13.897,13.567,13.842,1672
20200324,030000,13.843,14.094,13.796,13.872,3541
20200324,040000,13.869,14.109,13.868,14.018,1997
20200324,050000,14.005,14.021,13.757,13.808,1571
20200324,060000,13.806,13.851,13.656,13.657,1871
20200324,070000,13.662,13.706,13.149,13.470,3467
20200324,080000,13.469,13.743,13.406,13.673,2744
20200324,090000,13.670,13.720,13.561,13.700,1176
20200324,100000,13.696,13.923,13.653,13.864,2647
20200324,110000,13.862,14.072,13.837,14.049,1895
20200324,120000,14.050,14.239,14.017,14.028,2874
20200324,130000,14.013,14.086,13.789,13.887,2787
20200324,140000,13.891,14.116,13.632,14.023,6129
20200324,150000,14.023,14.169,13.870,13.945,5242
20200324,160000,13.939,13.948,13.776,13.863,6019
20200324,170000,13.865,14.052,13.829,13.987,4297
20200324,180000,13.989,14.040,13.913,14.001,3704
20200324,190000,14.001,14.157,13.919,14.068,3778
20200324,200000,14.067,14.178,13.994,14.164,2434
