<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20130711,000000,19.536,20.252,19.457,20.111,30995
20130712,000000,20.112,20.193,19.628,19.896,17256
20130715,000000,19.872,20.139,19.551,19.888,16857
20130716,000000,19.901,20.044,19.669,19.953,17502
20130717,000000,19.963,20.141,19.246,19.248,19628
20130718,000000,19.247,19.569,19.226,19.331,20717
20130719,000000,19.322,19.596,19.298,19.466,17347
20130722,000000,19.492,20.583,19.492,20.478,22339
20130723,000000,20.498,20.573,20.089,20.443,17224
20130724,000000,20.454,20.476,19.984,20.101,17633
20130725,000000,20.125,20.304,19.766,20.188,17753
20130726,000000,20.198,20.324,19.637,19.946,16501
20130729,000000,19.915,20.209,19.679,19.801,17171
20130730,000000,19.796,19.877,19.514,19.686,15481
20130731,000000,19.710,20.106,19.375,19.748,22712
20130801,000000,19.813,19.969,19.530,19.581,21101
20130802,000000,19.581,20.270,19.197,19.841,20202
20130805,000000,19.835,19.996,19.549,19.648,15685
20130806,000000,19.664,19.790,19.448,19.448,15604
20130807,000000,19.454,19.611,19.134,19.548,19241
20130808,000000,19.530,20.319,19.496,20.196,22464
20130809,000000,20.196,20.553,20.068,20.496,22151
20130812,000000,20.683,21.446,20.622,21.341,25859
20130813,000000,21.353,21.745,21.109,21.391,26759
20130814,000000,21.389,21.851,21.264,21.801,24580
20130815,000000,21.859,23.171,21.704,22.919,33444
20130816,000000,22.911,23.390,22.754,23.201,30163
20130819,000000,23.242,23.588,22.964,23.106,28498
20130820,000000,23.128,23.291,22.266,22.953,27603
20130821,000000,22.968,23.339,22.746,22.817,28011
20130822,000000,22.808,23.312,22.431,23.103,22722
20130823,000000,23.117,24.080,22.870,24.016,28926
20130826,000000,24.006,24.394,23.773,24.263,24582
20130827,000000,24.302,24.687,23.947,24.453,26579
20130828,000000,24.449,25.085,24.226,24.313,31784
20130829,000000,24.308,24.403,23.629,23.823,32593
20130830,000000,23.806,23.984,23.360,23.466,26093
20130902,000000,23.367,24.351,23.049,24.151,22908
20130903,000000,24.131,24.464,23.959,24.223,25746
20130904,000000,24.226,24.360,23.320,23.408,26481
20130905,000000,23.421,23.619,22.986,23.136,23735
20130906,000000,23.126,23.916,23.027,23.801,20716
20130909,000000,24.020,24.038,23.385,23.643,17843
20130910,000000,23.671,23.754,22.790,22.921,21715
